05496-1429	5.68	8.2	2.52	2.318
05499+3147	7.24	8.23	0.99	3.722
05500+0952	5.97	8.36	2.39	1.093
05508+1427	6.97	8.59	1.62	0.85
05511+6545	6.95	8.23	1.28	3.835
05518+2827	8.41	8.87	0.46	12.07
05535+3720	6.91	8.83	1.92	1.71
05544+1854	8.82	8.97	0.15	3.031
05571-4145	8.4	8.78	0.38	1.634
05585-2010	8.74	8.88	0.14	3.57
05597+3713	2.6	7.2	4.6	4.1
05597+2228	7.89	8.89	1	1.421
06003-3102	8.9	8.88	0.02	2.862
06018-1036	4.99	7.96	2.97	1.917
06042-4109	8.71	8.81	0.1	2.233
06047-4505	6.02	8.98	2.96	5.986
06048-4828	7.3	7.69	0.39	2.611
06053-2501	8.38	8.46	0.08	4.618
06054-2841	8.14	8.42	0.28	6.247
06085+1358	7.28	8.15	0.87	2.514
06114-1650	8.89	8.95	0.06	1.098
06116+4843	6.16	6.86	0.7	7.541
06117+1723	7.53	8.88	1.35	2.202
06123-2515	7.95	8.76	0.81	1.167
06125-6128	7.09	7.58	0.49	1.08
06135+1015	8.5	8.64	0.14	0.984
06147+1435	7.55	7.96	0.41	5.65
06149+2230	3.52	6.15	2.63	1.78
06155+1035	8.4	8.71	0.31	5.187
06156+3609	6.89	7.38	0.49	11.275
06167-1203	7.06	8.42	1.36	1.872
06205+4708	8.68	8.94	0.26	8.887
06228+1734	7.41	8.01	0.6	2.199
06238+0436	4.42	6.64	2.22	11.994
06238-1947	6.85	8.18	1.33	0.849
06255-3504	7.61	8.24	0.63	3.92
06257-4811	5.87	8.07	2.2	1.04
06258-4059	7.25	8.75	1.5	8.565
06282+0516	7.6	8.52	0.92	5.85
06287-3222	5.86	7.6	1.74	1.2
06288-0702	4.62	5	0.38	7.093
06294-2235	7.03	8.69	1.66	2.963
06298-5014	5.97	7.98	2.01	12.03
06311+2143	8.63	8.7	0.07	8.62
06317+0546	7.23	8.62	1.39	10.79
06340+5228	7.26	8.19	0.93	4.858
06341-2938	7.13	8.21	1.08	7.734
06344+1445	8.31	8.54	0.23	1.63
06347+3832	7.93	8.61	0.68	3.53
06347-3401	7.22	7.74	0.52	0.969
06353+3743	7.35	8.44	1.09	6.5
06354-3647	5.86	6.94	1.08	1.52
06354-3849	8.2	8.21	0.01	1.128
06356-2602	8.58	8.81	0.23	1.357
06363+3800	8.55	8.93	0.38	1.5
06379-1814	4.56	8.22	3.66	1.1
06386-4813	5.14	7.38	2.24	13.54
06387+4135	7.25	8.17	0.92	1.95
06396+2816	6.21	7.85	1.64	0.83
06410+0954	4.66	7.79	3.13	2.994
06412+0859	7.1	7.66	0.56	7.252
06412-0759	8.97	8.68	0.29	11.407
06423-3824	6.59	7.73	1.14	7.872
06455-3057	5.66	8.21	2.55	5
06462+5927	5.44	6	0.56	1.904
06482+5542	6.28	6.34	0.06	4.525
06484-1326	8.58	8.85	0.27	1.237
06486-0405	7.37	8.66	1.29	5.04
06497-2405	6.56	7.93	1.37	1.8
06541-0551	7.07	7.2	0.13	1.32
06542-3413	7.58	8.94	1.36	2.154
06546+1311	4.75	7.8	3.05	7.403
06555+3010	8.72	8.97	0.25	0.925
06561-1403	5.27	7.14	1.87	2.851
06569-0529	8.71	8.92	0.21	3.189
06586-2858	1.5	7.5	6	7.86
07018-1053	7.16	7.83	0.67	0.88
07028+1305	7.99	8.71	0.72	1.201
07033-5911	5.83	6.78	0.95	1.409
07041+7514	7.22	8.19	0.97	12.774
07052-0052	8.32	8.8	0.48	1.01
07055-3447	6.47	7.81	1.34	2.463
07057+5245	6.87	7.01	0.14	4.39
07079-0441	7.47	7.95	0.48	1.64
07087-7030	3.86	5.43	1.57	14.297
07088+1655	8.47	8.69	0.22	6.898
07104-3003	8.44	8.55	0.11	0.919
07104-5536	7.72	7.83	0.11	6.942
07105-2921	8.46	8.95	0.49	0.949
07113-2148	6.91	8.49	1.58	13.6
07120+2217	8.09	8.38	0.29	8.702
07124-3633	6.03	8.35	2.32	2.48
07128+2713	7.24	7.27	0.03	0.848
07128+1511	7.77	8.91	1.14	2.108
07148+5233	7.81	8.44	0.63	1.538
07156-0152	8.04	8.88	0.84	3.885
07186-3048	7.67	7.87	0.2	3.037
07193-2203	7.61	7.73	0.12	3.932
07196-1553	8.85	8.71	0.14	0.82
07201+2159	3.55	8.18	4.63	5.35
07204-5219	6	6.51	0.51	9.055
07223+5009	7.51	7.67	0.16	14.857
07223-3555	7.08	7.94	0.86	7.442
07229+5517	5.76	6.71	0.95	14.789
07241+2127	7.68	8.52	0.84	1.932
07248-3717	6.85	6.9	0.05	6.834
07251-2110	7.21	8.05	0.84	1.75
07256+2030	7.32	8.13	0.81	6.771
07262+1450	8.87	8.93	0.06	7.159
07274+1519	7.58	8.52	0.94	2.65
07289-3151	6.34	6.95	0.61	8.964
07294+1132	8.54	8.94	0.4	3.889
07294-1500	6.39	7.6	1.21	1.793
07303+4959	8.79	8.98	0.19	0.87
07306+0515	7.12	8.64	1.52	3.93
07328+2253	6.62	8.21	1.59	11.705
07340-2342	8.05	8.94	0.89	1.853
07343-2328	5.82	5.85	0.03	9.942
07345+1218	7.81	8.5	0.69	1.83
07346+3153	1.93	2.97	1.04	5.38
07354-7417	7.02	7.07	0.05	1.889
07359+4302	6.62	8.26	1.64	1.91
07366-1429	6.92	7.3	0.38	7.19
07388-2648	4.4	4.62	0.22	9.931
07389-2016	7.84	8.39	0.55	2.96
07397-3808	5.77	8.59	2.82	1.224
07401+0514	6.55	6.96	0.41	0.883
07413-6000	8.35	8.68	0.33	1.054
07427-4234	7.3	8.44	1.14	0.835
07431+0011	6.44	8.47	2.03	0.833
07441+5026	5.33	8.43	3.1	0.973
07459+6509	7.78	7.8	0.02	14.4
07470+6403	7.02	8.45	1.43	5.461
07479-1212	5.73	7.32	1.59	1.035
07483-5628	6.64	8.39	1.75	0.889
07484+1820	7.01	8.65	1.64	6.372
07494-3033	8.2	8.48	0.28	1.548
07508-7047	8.47	8.83	0.36	1.94
07523-3442	5.12	8.59	3.47	3.949
07527+0323	7.82	7.93	0.11	0.929
07568-6049	8.37	8.76	0.39	9.37
07584-6051	7.07	7.69	0.62	5.47
07588-4741	7.58	8.72	1.14	1.717
08026-2733	7.22	8.41	1.19	7.21
08033+2616	7.71	7.93	0.22	1.004
08050-3419	8.41	8.48	0.07	1
08050-6023	7.67	8.55	0.88	1.594
08054+0550	7.48	8.76	1.28	4.767
08055-6952	8.65	8.65	0	5.832
08056+2732	6.69	7.41	0.72	3.478
08068-3110	8.53	8.97	0.44	0.813
08079-6837	4.38	7.31	2.93	6.03
08082-2208	7.91	8.51	0.6	3.286
08082-6105	6.91	8.45	1.54	11.549
08095+3213	7.19	7.98	0.79	3.103
08098-4238	6.55	7.48	0.93	5.6
